"Municípios","UF","Número de Internações","População","Taxa a cada 100 mil hab."
"Nova Petrópolis (RS)","RS","14","11.117","125,9"
"Ubarana (SP)","SP","4","3.177","125,9"
"Álvares Machado (SP)","SP","16","12.711","125,9"
"Damianópolis (GO)","GO","2","1.590","125,8"
"Salvador do Sul (RS)","RS","5","3.976","125,8"
"Formosa do Oeste (PR)","PR","4","3.181","125,7"
"Prata (MG)","MG","17","13.523","125,7"
"Japurá (PR)","PR","6","4.773","125,7"
"Alfenas (MG)","MG","52","41.417","125,6"
"Glaucilândia (MG)","MG","2","1.593","125,5"
"Prata do Piauí (PI)","PI","2","1.594","125,5"
"Ouricuri (PE)","PE","45","35.868","125,5"
"Paraíso (SP)","SP","4","3.190","125,4"
"Paudalho (PE)","PE","37","29.515","125,4"
"Macaubal (SP)","SP","5","3.989","125,3"
"Tupãssi (PR)","PR","5","3.992","125,3"
"São Martinho da Serra (RS)","RS","2","1.598","125,2"
"Guiricema (MG)","MG","5","4.000","125,0"
"Barbosa Ferraz (PR)","PR","7","5.604","124,9"
"Salto Veloso (SC)","SC","3","2.404","124,8"
"Terra Boa (PR)","PR","11","8.817","124,8"
"Carnaubeira da Penha (PE)","PE","8","6.414","124,7"
"Bodocó (PE)","PE","24","19.265","124,6"
"Caraguatatuba (SP)","SP","79","63.414","124,6"
"Serra Negra (SP)","SP","19","15.257","124,5"
"Cândido Mota (SP)","SP","20","16.076","124,4"
"Tamandaré (PE)","PE","15","12.065","124,3"
"Mira Estrela (SP)","SP","2","1.609","124,3"
"Castelândia (GO)","GO","2","1.611","124,1"
"Indiana (SP)","SP","3","2.417","124,1"
"Lunardelli (PR)","PR","3","2.418","124,1"
"São Julião (PI)","PI","4","3.226","124,0"
"Sapopema (PR)","PR","4","3.232","123,8"
"Barra do Guarita (RS)","RS","2","1.616","123,8"
"Macieira (SC)","SC","1","809","123,6"
"Cuité de Mamanguape (PB)","PB","4","3.238","123,5"
"Lobato (PR)","PR","3","2.430","123,5"
"Mato Queimado (RS)","RS","1","810","123,5"
"Taguaí (SP)","SP","9","7.290","123,5"
"Ampére (PR)","PR","12","9.736","123,3"
